experiment,scenario,observed_edges,observed_fraction,best_objective_iteration,initial_full_flow_error,best_objective_full_flow_error,best_objective_deleted_edge_error,final_full_flow_error,final_deleted_edge_error,minimum_full_flow_error_iteration,minimum_full_flow_error,initial_masked_mismatch,best_objective_masked_mismatch,final_masked_mismatch,best_objective_relative_l1,final_relative_row_marginal_error,final_relative_column_marginal_error
exp5,top 50%,38,0.5,4982,0.11395555546204966,0.052707674299503834,0.06891159161768497,0.05269426003126832,0.0689273047365744,4975,0.05261621765472081,56997394.65422571,984501.0134799811,1040319.8091943001,1.035545097957505,8.180836743842532e-13,9.71035663290564e-17
exp5,top 70%,53,0.6973684210526315,4813,0.11395555546204966,0.040208673775429034,0.05250647370292627,0.04101348832700464,0.05259890354026988,2984,0.03511061460128247,59665451.24822727,21175.111517914986,53441.34300679619,0.8731121033968752,8.988738415700281e-13,1.3115286880807618e-16
exp5,top 90%,68,0.8947368421052632,4924,0.11395555546204966,0.02538406889464165,0.040054536490162856,0.025746740268552726,0.039880378527237616,4066,0.024876879681016827,72377740.19330683,31338.243172603907,60144.81638651268,0.8360502052539267,7.477188991834433e-13,1.626800007330945e-16
