experiment,scenario,observed_edges,observed_fraction,best_objective_iteration,initial_full_flow_error,best_objective_full_flow_error,best_objective_deleted_edge_error,final_full_flow_error,final_deleted_edge_error,minimum_full_flow_error_iteration,minimum_full_flow_error,initial_masked_mismatch,best_objective_masked_mismatch,final_masked_mismatch,best_objective_relative_l1,final_relative_row_marginal_error,final_relative_column_marginal_error
exp3,random 10%,8,0.10526315789473684,4,0.11395555546204966,0.11328390369479682,0.11145747230718757,0.19730056782594949,0.1931618468565027,8,0.112980095720706,15120473.74035543,14508074.761866136,16150273.737163432,0.6655561234257394,1.7920740604788298e-12,1.5259131851708864e-16
exp3,random 30%,23,0.3026315789473684,1812,0.11395555546204966,0.11853489352512425,0.12212577933753295,0.15021017088544042,0.14845070409924221,418,0.09990588190820669,25074642.52611409,5068545.773676923,5761997.2074153,0.9811679400588619,2.00708279478107e-12,1.1475876020706666e-16
exp3,random 50%,38,0.5,4899,0.11395555546204966,0.06568752134327749,0.0785889322657519,0.06558134988224573,0.07864258092860887,4944,0.06488529392381484,47988853.19406357,6420348.059742572,6738974.802149903,1.0316698288884405,9.361124287145827e-13,1.3115286880807618e-16
exp3,random 70%,53,0.6973684210526315,4938,0.11395555546204966,0.012372714975734033,0.03515160426668836,0.012488544117395134,0.03506966093570319,4987,0.01184134100000154,62513322.793747194,24634.421521320593,34876.09915387965,0.8356246358676587,1.5919158663985507e-12,1.08453333822063e-16
exp3,random 90%,68,0.8947368421052632,4972,0.11395555546204966,0.0016271726001347733,0.0278435358917252,0.002442185235613728,0.02794677347264569,4945,0.0016011681064403778,73747270.82013637,13098.546809930984,28756.38276489646,0.8088956759456419,6.478762556327413e-13,1.3367503936207764e-16
